Timestamp,ASIN,Price,Ship From,Sold By
2022-12-26 21:03:34.104050,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:05:38.648564,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:07:43.172252,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:09:48.015182,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:11:53.042961,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:13:57.847908,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:16:02.967792,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:18:07.449763,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:20:12.767661,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:22:17.879275,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:24:22.552847,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:26:27.416278,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:28:32.221827,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:30:37.485158,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:32:42.390485,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:34:47.234283,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:36:52.313707,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:38:56.682095,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:41:01.267382,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:43:06.711584,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:45:12.034674,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:47:15.122039,B00005BIEF,Page 1 of 1,Amazon,Offissentials
2022-12-26 21:49:20.403156,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:51:25.644004,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:53:31.136877,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:55:35.729216,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:57:40.757776,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 21:59:45.681892,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:01:50.531068,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:03:55.891208,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:06:00.644762,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:08:05.464107,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:10:10.996344,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:12:16.298458,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:14:21.024573,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:16:26.471119,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:18:31.226560,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:20:36.093116,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:22:40.931976,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:24:44.870160,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:26:49.624754,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:28:54.341015,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:30:59.580660,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:33:04.573676,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:35:09.732228,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:37:14.254250,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:39:19.406822,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:41:24.391429,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:43:29.234907,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:45:33.797224,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:47:39.050045,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:49:44.583262,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:51:49.426648,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:53:54.295890,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:55:59.053871,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 22:58:03.448379,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:00:09.158813,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:02:14.249042,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:04:19.547411,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:06:24.916927,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:08:30.398272,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:10:34.933555,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:12:40.215880,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:14:45.065855,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:16:50.384315,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:18:55.215728,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:21:00.683772,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:23:05.616984,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:25:10.580908,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:27:15.495147,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:29:20.399722,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:31:25.259421,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:33:31.152361,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:35:35.937018,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:37:40.805924,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:39:46.166731,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:41:52.100048,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
2022-12-26 23:43:56.762701,B00005BIEF,$88.33,OfficeWorld Store,OfficeWorld Store
