Timestamp,ASIN,Price,Ship From,Sold By
2022-12-25 17:39:40.541801,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 17:41:45.223108,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 17:43:50.435401,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 17:45:55.143348,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 17:48:00.650716,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 17:50:05.549810,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 17:52:10.557127,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 17:54:15.305492,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 17:56:20.322841,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 17:58:24.745241,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:00:30.516838,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:02:35.778837,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:04:40.342869,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:06:45.655587,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:08:50.623229,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:10:55.096792,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:12:59.926742,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:15:04.961552,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:17:09.751014,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:19:14.298684,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:21:19.227129,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:23:23.980548,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:25:28.548049,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:27:33.398310,B00005BIEF,$88.33,Amazon,Offissentials
2022-12-25 18:29:38.406232,B00005BIEF,$88.33,Amazon,Offissentials
